gene	Mesenchymal.progenitor_2	Mesenchymal.progenitor_8	Mesothelial_4	T.NK_20	Mesothelial_18	T.NK_11	Mesothelial_1	T.NK_22	T.NK_3	Monocyte.Macrophage_15	Mesothelial_13	T.NK_17	T.NK_19	B.cells_16	Endothelial_9	Neutrophils_5	Noise_7	Tumor_HGSOC_14	Mast.cells_25	EMT_24	T.NK_23	Lymphatic.endothelial_6	Plasma_21	T.NK_12	Plasmacytoid.dendritic_10
SMAD3	0.1656	0.5016	0.0219	0.0046	0.0281	0.0125	0.0028	0.0169	0.0205	0.0086	0.0734	7e-04	0.0045	0.0886	0.1136	0.0014	0	0.0152	0.0576	0.0319	0.0074	0.019	0	0	0.0195
AAGAB	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	5e-04	0	0	0	0	0	0	0
C15orf61	0.0682	0.0197	1e-04	3e-04	0	0	2e-04	0.0064	0	0	0	0	5e-04	0	0.0019	0	0.0237	0.0278	0.0552	4e-04	0	0	0.0028	0	0
MAP2K5	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIAS1	0.0534	0.1798	0.0299	0.0694	0.0401	0.0882	0.1007	0.0812	0.1349	0.2295	0.1321	0.0327	0.0263	0.2309	0.1001	0.0825	0.0267	0.0146	0.0168	0.0787	0.2162	0.1175	0.0209	8e-04	0.1878
CALML4	0	0	2e-04	0	0.011	0	0.003	0	0	0.092	4e-04	0	0	0	0.1861	0	0.003	0.0014	0	0	0	0.0476	0	0	0
CLN6	1e-04	0	0	0	0	0	0	0	0	0.0023	0	0	0	0	6e-04	0	0	0.0015	0	0	0	0	0.0195	0	0
FEM1B	8e-04	0	1e-04	1e-04	2e-04	0	0	0	0	0.0093	4e-04	0	0	4e-04	0.0295	0	0	0.0021	0	0.0012	0	0.0032	0.0014	0	0.0024
ITGA11	0.0485	0.5661	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0.0059	0	0	0.0327	0	0	0	0	0
CORO2B	1e-04	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANP32A	0.0117	0.028	0.0118	0.397	0.0037	0.1954	0.0223	0.4124	0.2169	0.5093	0.0066	0.2064	0.7671	0.4802	0.3363	1.6091	0.0831	0.7488	0.3118	0.0791	0.4676	0.5206	0.2008	0.6698	0.8
SPESP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	4e-04	0	0	0	0	0
PAQR5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0.0072	0	0	0	0	0	0
TLE3	0.0152	0.0109	3e-04	0.094	0.0011	0.0287	0	0.0367	0.0894	0.1673	0.0058	0.0788	0.0353	0.3681	0.0212	0.5761	0.0059	0.0015	0.0504	0.0021	0.0513	0.0032	0.099	0.0028	0.1585
UACA	0.3482	0.3482	0.5923	0.0084	0.6504	0.0691	0.6647	0.0103	0.0099	0.0738	0.674	0.0031	0.001	0.0239	0.887	0.0096	0.2226	0.6947	0.0072	0.3698	0.008	1.0635	0.0042	0	0
LARP6	0.6362	0.6834	0.0061	0	0.0107	7e-04	9e-04	0	0	0	0.0101	0	0	0	0.0019	0.0011	0.0208	0.0423	0.0024	0.1019	0	0.0063	0	0	0
LRRC49	1e-04	0	0	0	2e-04	0	0	0	0	0	4e-04	0	0	0	0.0013	0	0	2e-04	0	0	0	0	0	0	0
THAP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THSD4	8e-04	0	0.0164	0	0.1548	0	0.0534	0	0	0	0.0738	0	0	0	0.0064	0	0.0208	0.0817	0	0.0087	0	0.0095	0.0014	0	0
NR2E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO9A	0.1036	0.4246	0.0469	0.0026	0.0534	0.0134	0.0645	0.0119	0.0022	0.0067	0.2863	3e-04	5e-04	0.0072	0.2279	5e-04	0.0119	0.0183	0.0024	0.1068	0.0124	0.1175	0.0014	0	0.0488
SENP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKM	0.4087	0.907	0.2755	0.4955	0.7282	0.4287	0.4854	0.4539	0.4516	1.7292	0.27	0.4308	1.3908	0.6451	0.828	0.2942	0.2522	2.4996	0.7818	0.9623	0.4935	0.673	0.2803	1.1355	0.2488
PARP6	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0.0048	0	0	0	0	0	0	0
CELF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0
HEXA	0.3159	0.3469	0.0308	0.002	0.0546	0.007	0.107	0.0238	7e-04	0.5824	0.0194	3e-04	0	0.0183	0.1573	0.0096	0.0178	0.1765	0.0791	0.135	0	0.181	0.06	0	0.0293
ARIH1	0.3099	0.1977	0.6411	0.629	0.4018	0.5428	0.2215	0.4077	0.6569	0.3933	0.8023	0.67	0.3992	0.5799	0.5828	0.3103	0.3116	0.2181	0.3429	0.4054	0.7245	0.5429	0.1994	0.1222	0.8463
BBS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADPGK	7e-04	0	0	0.0016	2e-04	0.014	0	0.0174	0.0011	0.2898	4e-04	4e-04	0.006	0.1274	0.0013	0.012	0	0.005	0.0384	0.0021	0.0056	0.0032	0.0056	0	0.5951
NEO1	5e-04	0	0.06	0	0.2356	2e-04	0.1437	0	0	0	0.1131	0	0	0	0	3e-04	0.0356	0.0113	0	0.0104	0	0.0794	0	0	0
NPTN	0.4598	0.5728	0.0613	0.0022	0.1573	0.0353	0.2009	0.0086	0.0045	0.357	0.1301	6e-04	0.0139	0.0085	0.1335	0.0855	0.0801	0.3099	0.0192	0.2683	0.0012	0.5143	0.0084	8e-04	0.0024
CD276	0.0174	0.0461	0	0	0.0036	0	0	0	0	0.0162	0	0	0	0	0.0141	0	0	0.014	0.012	0.0617	0	0.0032	0	0	0
LOXL1	0.1062	1.1378	0.001	0	0	2e-04	4e-04	0	4e-04	0	0.0027	1e-04	5e-04	4e-04	0	3e-04	0.0356	0.0041	0.0168	0.4021	0	0	0	0	0
STOML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PML	8e-04	3e-04	0	0.0127	8e-04	0.0013	0	0.0045	1e-04	0.0219	0.0101	0.0019	0.0149	0.0013	0.4056	0.0019	0.0059	0.067	0.0072	0.0174	0	0.2317	0.0014	8e-04	0.0024
ISLR	1.0416	1.3943	0.0046	0.002	0	0.0057	0.0071	0.0016	0.005	0	0.0093	3e-04	0.002	0.0043	0	0.0167	0.0564	0	0.0024	0.4571	0.0124	0	0	0	0
CYP11A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMA7A	0	0	0	0	0	0	0	2e-04	0	0.0036	0	0	0	0.0034	0	0	0	2e-04	0	0	0	0	0	0	1.061
UBL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0.0659
ARID3B	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	3e-04	0	2e-04	0.0048	0	0	0	0	0	0.2439
CLK3	0	0	0	0.0035	0	0.0013	0	0.0028	0.0021	0.0023	4e-04	0	0	0.0043	0.0045	0	0	0.0055	0.0216	4e-04	6e-04	0.019	0	0	0.0293
EDC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0
CSK	0	0	0	0.0503	0	0.052	0	0.2066	0.0095	0.1569	0	0.0054	0.4374	0.2497	0	0.0191	0.0119	0.0206	0.0216	0	0.0068	0	0.0056	0.152	0.1463
ULK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0
SCAMP2	0.001	0.0034	0	0.0211	0	0.0037	0	0.0608	0.0022	0.3281	0.0016	4e-04	0.1023	0.0409	0.0347	0.0011	0.0089	0.0535	0.0983	0.0012	0	0.019	0.2036	0.0548	0.6415
MPI	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM219B	0	0	0	1e-04	0	2e-04	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX5A	0.1151	0.3345	0.3908	0.5375	0.4761	0.3145	0.543	0.6759	0.4757	0.7798	0.1573	0.4194	1.1455	0.6579	0.57	0.1207	0.2374	1.989	0.6811	0.2675	0.6782	0.7492	1.569	0.9488	1.8683
RPP25	0	0	1e-04	0	0	0	0	0	0	0	8e-04	0	0	0	0	0	0.003	0.0086	0	0	0	0	0	0	0
SCAMP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0	0.3415
PPCDC	0	0	0	0	0	0	0	0	0	5e-04	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C15orf39	0	0	0	0	0	0	0	2e-04	0	0.022	4e-04	0	0	0	0	0.0167	0.003	0.0075	0	0.0021	0	0	0	0	0.0341
COMMD4	0.0232	0.0378	0.0147	0.0013	0.124	0.0013	0.1017	0.0543	8e-04	0.0097	0.0097	3e-04	0.0084	0.0072	0.0436	0	0.0326	0.2145	0.0504	0.036	6e-04	0.2222	0.0181	0.0101	0
NEIL1	0	0	0	0	5e-04	0	0	0.0029	0	1e-04	4e-04	0	0	0.0098	0.0083	0	0	0.001	0	0	0	0.0286	0.0014	0	0
MAN2C1	0.0031	3e-04	0	0	0	7e-04	1e-04	3e-04	1e-04	0.0036	0.0012	1e-04	0.001	0	0.0186	3e-04	0	0.0175	0	0.0021	0	0.0381	0.0056	0	0
SIN3A	0.0251	0.0036	0.065	0.0041	0.1162	0.0178	0.0468	0.0174	0.0104	0.0059	0.2382	0.0028	0.001	0.0767	0.1168	0	0.0356	0.0476	0.0552	0.029	0.0049	0.1587	0.0014	4e-04	0.0195
PTPN9	0.0054	3e-04	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	3e-04	0	4e-04	0	0	0	0	0
SNUPN	3e-04	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0.003	0.0353	0.0048	4e-04	0	0	0	0	0
IMP3	0.0134	0.0661	0.012	0.0818	0.0658	0.0303	0.1651	0.179	0.1241	0.0072	0.0054	0.0095	0.0392	0.1645	0.0289	0.0014	0.0504	0.1237	0.0552	0.0062	0.5732	0.0476	0.0084	0	0.0073
SNX33	7e-04	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317	0	0	0
CSPG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219	0	0	0	0	0
ODF3L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q2	0.0023	0.093	1e-04	0.0014	2e-04	0.0064	0	0.0505	0.023	0.0117	0.0058	0.0061	0.0035	0.0013	0.0488	0	0.003	0.024	0.0048	0.0029	0.0173	0.0857	0.0126	4e-04	0.0073
FBXO22	3e-04	5e-04	0.0229	0	0.0182	9e-04	0.0038	5e-04	0	8e-04	0.0237	0	0	0.0013	0.0058	3e-04	0.0089	0.1689	0	0.0128	0.0012	0.0317	0	8e-04	0
NRG4	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETFA	0.1034	0.1311	0.0284	0.041	0.0358	0.0055	0.0709	0.0955	0.0394	0.0913	0.0074	0.0092	0.0402	0.0545	0.0449	0.0022	0.0208	0.2983	0.0887	0.0464	0.0111	0.1714	0.053	0.0117	0.0024
ISL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAPER	0	0	0	0.0011	0	0.0026	0	0.0021	0.0013	0.0019	0.0027	0	0	0.0051	0.0039	0	0	0.0039	0.0432	4e-04	0.0117	0.0317	0.0112	0	0.0024
RCN2	0.3831	0.4728	0.2078	0.1418	0.4435	0.1135	0.4745	0.2921	0.1344	0.0061	0.1503	0.0634	0.078	0.7141	0.2786	0.0188	0.1365	1.6387	0.1894	0.2203	0.538	0.6286	0.2176	0.0407	0.122
PSTPIP1	0	0	0	0.0963	0	0.0364	0	0.1213	0.0246	0.0402	0	4e-04	0.0387	0	0	0.0093	0.003	0.0026	0	0	6e-04	0	0	0.1512	0
TSPAN3	0.3436	0.1632	0.9869	0.1111	1.4804	0.1396	1.4844	0.151	0.1865	0.1395	0.8885	0.0736	0.0253	0.5667	0.2696	0.0809	0.4896	0.5097	0.223	0.2153	0.1303	0.346	0.311	0	0.6927
PEAK1	0.0045	8e-04	9e-04	1e-04	0.0205	2e-04	0.0011	0.0134	0	0.0433	0.028	0	0	0.0038	0.0719	0	0	0.0015	0	0.0928	0	0.146	0	0	0
HMG20A	1e-04	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0.0026	0	0	0	0	8e-04	0	0	0	0	0
TBC1D2B	0.0407	0.0088	0.2471	0.1571	0.3711	0.1361	0.5432	0.0467	0.1254	0.0192	0.432	0.0199	0.0189	0.006	0.0135	0.0044	0.1157	0.0027	0.0144	0.0758	0.097	0.0698	0.0056	0.0734	0.0024
CIB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	4e-04	0	0	0	0	0.6805
IDH3A	3e-04	0	0	0	0	2e-04	0	0	0	0.0012	0	0	0	4e-04	6e-04	0	0	0.0021	0	0	0	0	0	0	0.7488
DNAJA4	9e-04	0	4e-04	0.0092	9e-04	0.1901	7e-04	0.0088	0	0.0509	0.0155	0.0064	0.0675	9e-04	0.0058	0.0046	0.0059	0.0684	0.012	0.0248	0	0	0.0544	0.0169	0.0927
WDR61	9e-04	0	0	3e-04	0.0113	0.0138	0.0046	5e-04	1e-04	0.0012	0.0016	0	5e-04	0	0.0231	5e-04	0	0.0221	0	0.0033	0	0.1079	0.0126	4e-04	0.0049
IREB2	0.0022	0.001	0	0.0038	0	0.0035	1e-04	0.0086	1e-04	0.0117	0.0016	1e-04	0.003	0.0094	0.0013	0.0014	0	0.0238	0.0216	0.0029	0.0012	0.0063	0	4e-04	0.1683
HYKK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0	0	0	0	0	0	0	0
PSMA4	0.5526	0.7565	0.3268	0.5934	0.5475	0.2922	0.5747	0.6245	0.4084	0.6278	0.2145	0.3678	0.7681	0.5458	0.6264	0.1639	0.2671	1.0745	0.5899	0.5557	0.5639	0.7143	0.2469	0.6887	0.8268
CHRNA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS7	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0.0096	0	0	0	0	0	0
MORF4L1	1.8798	2.2635	1.6302	2.045	1.743	1.471	1.767	1.857	2.1342	1.4916	1.5284	1.9273	1.9523	2.0993	1.9313	0.9872	1.3501	1.5501	2.1535	1.5466	2.4954	2.5651	1.159	1.3448	1.8146
CTSH	0.4136	1.3902	0.0087	0.0214	0.0059	0.0301	0.0359	0.0167	0.0129	1.558	0.0152	0.0198	0.0169	0.9416	0.3614	0.08	0.0801	0.0197	0.0911	0.0894	0.0148	1.2984	0.8187	0.0044	0.8073
TMED3	0.0778	0.0878	0.0154	0	0.1559	0	0.0868	0.0016	0	0.0225	0.0035	1e-04	0.006	0.0026	0	3e-04	0.0267	0.2347	0.0024	0.1404	0	0.073	0.3403	4e-04	0.2146
MTHFS	3e-04	0	0.001	0	0.0173	4e-04	0.011	5e-04	0	0.0085	0.0019	0	0	0	0	0.0284	0.0059	0.0058	0	8e-04	0	0	0	0	0
BCL2A1	0	0	0.0036	0.0269	0	0.0487	0	0.1544	0.015	1.7076	0.0012	0.0233	0.0035	0.5526	0	2.5799	0.0534	0	1.3357	0	6e-04	0	0	8e-04	0.378
ZFAND6	0.056	0.0461	0.4189	0.4953	0.5545	0.2004	0.6215	0.5075	0.3092	0.3629	0.4782	0.2598	0.1509	0.8364	0.2927	0.3974	0.1929	0.4244	0.2782	0.0981	0.2205	0.5587	0.166	0.0984	0.8146
FAH	3e-04	0	0	0	3e-04	0	0	0	0	0.0031	0	0	0	0	0.0013	0	0	0.0014	0	0.0186	0	0	0	0	0
ARNT2	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0
ABHD17C	0	0	0	0	0	0	0	0	0	0.0255	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0.0073
MESD	0.4552	0.6117	0.1213	0.1493	0.2269	0.1106	0.3816	0.1716	0.2698	0.1079	0.0699	0.1298	0.3714	0.2037	0.2266	0.009	0.0831	0.3798	0.1487	0.2087	0.1767	0.3016	0.9735	0.1266	0.6439
TLNRD1	0.073	0.2718	1e-04	0.0018	0.0051	6e-04	0	0.001	3e-04	0.2744	0.007	0	0	4e-04	0.2612	0.0076	0	0.0029	0.0072	0.0472	0	0.0635	0	0	0
IL16	0.0054	3e-04	0.0037	0.0157	0.0225	0.0512	0.0757	0.0298	0.0054	0.0046	0.0377	0.001	0.002	0.6864	6e-04	0.003	0.0237	0.0014	0	0.007	0.0111	0.0063	0.0181	0	0.7341
STARD5	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195	0	0
MEX3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0
SAXO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0
GOLGA6L10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPEB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP3B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WHAMM	1e-04	0	2e-04	7e-04	0	0.0013	0	0.0314	0.0011	0.0127	0.0012	1e-04	0.001	0.0251	0.0013	0	0	0.0012	0.0096	4e-04	0.0062	0.0063	0	4e-04	0.0439
HOMER2	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0.0051	0	0	0.0437	0	0	0	0	0	0	0
RAMAC	0	0	1e-04	2e-04	0	0	0	2e-04	0	0.0011	0	0	5e-04	4e-04	0.0013	0	0	0.0111	0	0	0	0	0	0	0
C15orf40	0.001	3e-04	0	0	0	0	0	0.0053	7e-04	3e-04	0	0	5e-04	9e-04	0.0019	0	0	0.001	0	4e-04	6e-04	0	0	0.0012	0.0073
BTBD1	0	0	0	0	3e-04	0	0	0.0026	0	0.002	4e-04	0	0	0	0.0257	0	0	2e-04	0.0168	0.0017	0	0.0063	0	0	0
TM6SF1	0	0	0	0	0	0	0	0	0	0.0371	0	0	0	0	0.0879	0	0	0	0.0048	0	0	0.0032	0	0	0
HDGFL3	0.0339	0.0101	0.0036	1e-04	0.0049	6e-04	3e-04	0.0029	0	7e-04	0.0295	0	0	0	1.6021	3e-04	0.003	0.0827	0	0.0178	0.0086	0.9111	0	4e-04	0
BNC1	0.0037	0	0.7064	0.0046	0.7856	0.0162	0.7891	0.0064	0.0026	0	0.7063	0.0073	0.001	0.006	0.0019	0.0085	0.2166	0.0099	0	0.0393	0.0019	0.0127	0	0	0
SH3GL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL3	0.5242	0.671	4e-04	0	0	0.0033	0	5e-04	3e-04	0	0.0074	1e-04	0	0.003	0	0.0019	0.0208	0	0	0.0269	0	0.0127	0	0	0.0024
GOLGA6L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZSCAN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR73	0.0025	0.0028	0	1e-04	0.0022	0.0015	0.002	0.001	4e-04	1e-04	0.0016	0	5e-04	0.0043	0.0032	0	0.0089	0.0505	0	0.0033	0	0	0	0	0
NMB	3e-04	0	2e-04	0	2e-04	0.0068	0	0	9e-04	0.0111	0.0012	0.0095	0.0814	9e-04	0.0103	3e-04	0.0089	0.0262	0	0.007	0	0	0.0014	0.1589	0.0098
SEC11A	1.3038	1.501	1.2664	0.7677	1.5042	0.6716	1.5339	1.0694	0.8368	1.1117	0.8376	0.7951	0.9796	0.8355	1.4191	0.4966	0.8754	1.5177	1.6043	1.0489	0.9666	1.9016	0.9107	1.0278	0.6268
ZNF592	0	0	0	0	0	2e-04	0	0	0	1e-04	0.0016	0	0	4e-04	0	0	0.0059	0.1489	0	0	0	0	0	4e-04	0.0098
PDE8A	1e-04	0	0	0	0	0	0	0	1e-04	0.0331	0	0	0	0	0.0109	0	0	3e-04	0.0288	0.0012	0	0.0095	0	0	0
AKAP13	0.8558	1.0648	1.022	2.7445	0.6275	2.0009	0.7938	2.447	2.7518	2.6086	1.5909	2.1118	1.7383	1.7294	1.294	1.1483	1.273	0.2354	2.7674	1.1019	1.8653	0.6698	0.5983	1.4145	7.0122
KLHL25	0	0	0	0	0	6e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTRK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0211	0	0	0	0	0
DET1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEN	0	0	0	0	0.0017	0	0	0	0	3e-04	4e-04	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0
ISG20	0	0	0.0104	2.6269	0	1.088	0	2.0705	1.7277	0.2198	0.0074	1.8111	2.3227	2.4849	0.1104	0.8263	0.4777	0	0.0528	0	1.656	0.0413	4.9679	1.3419	1.9756
HAPLN3	1e-04	0	0.0021	7e-04	0.0014	0	0	3e-04	3e-04	0.0036	0.0031	1e-04	0.0124	0	0.8838	3e-04	0	0.0171	0	0.0248	0.0056	0.1683	0	0	0
MFGE8	1.1164	0.95	0.0035	0.001	0.0029	0.0138	0.0054	0.0048	3e-04	0	0.0175	6e-04	0.0035	0	0.0571	0.0156	0.0801	0.6757	0	0.3793	0.0031	0.0095	0.0112	0	0
ABHD2	0.0047	5e-04	6e-04	0.0047	0.0046	0.0011	6e-04	0.0929	4e-04	0.2522	0.0047	0	0	0	0.0193	0.2666	0	0.0021	0.1103	0.0812	0	0.1397	0.0056	0	0.022
FANCI	0	0	0	0	2e-04	0	0	0.001	0	8e-04	0	0	0	0	0	0	0	0.0305	0	4e-04	0	0	0.0042	0.0036	0
POLG	0	0	0	2e-04	0	0	0	0.0065	0	0.0016	0	0	0	0.0051	0.0019	0	0	0.0012	0.0024	4e-04	0	0.0032	0.0014	0	0.0659
KIF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MESP1	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0.0031	0	8e-04	0	0	0	0	0
ANPEP	0.0015	0.1013	1e-04	1e-04	0	0.0024	0	0	0	0.6016	4e-04	0	5e-04	0	0	0.0631	0.0059	0.0017	0.0096	0.0116	0	0	0	0	0
AP3S2	1e-04	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0
ARPIN	1e-04	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	6e-04	0	0	0	0	0	0	0.0032	0	0	0
ZNF710	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDH2	0	0	0.0037	0.4611	0.0029	0.1532	8e-04	0.351	0.0508	0.2191	0.0152	0.1838	0.3287	0.0251	0.0225	0.0134	0.0534	1.0019	0.0504	0.0629	0.0173	0.019	1.2455	0.8371	0.1585
SEMA4B	1e-04	0	0	0	0	0	0	0	0	0	0.0027	0	0	0	0	0	0.003	0.0154	0	0	0	0	0	0	0
CIB1	0.2832	0.5466	0.1471	1.3236	0.245	0.9326	0.3458	1.1372	1.1599	0.7557	0.0509	1.4151	1.2388	1.1807	0.353	0.3742	0.2997	0.6039	0.5012	0.3246	1.1834	0.4476	0.3766	1.1585	0.4683
GDPGP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGRN	0.1457	0.236	0.159	0.1505	0.4373	0.0718	0.4252	0.0503	0.1683	0.009	0.1352	0.1099	0.0526	0.317	0.62	0.0044	0.1395	0.5157	0.0528	0.1114	0.5287	0.5619	0.0488	0.0133	0.0049
IQGAP1	0.6374	0.9347	0.9629	1.6342	0.8603	1.2594	0.9631	1.557	1.569	2.0389	1.2401	1.249	1.6927	1.1214	1.1605	1.8656	0.8783	0.7494	1.235	0.7921	0.9679	1.0825	0.6932	1.3476	0.9707
CRTC3	2e-04	0	0	0.0022	0	0.0893	0	0.0079	0.0465	1e-04	0	0.064	0.0819	0.0107	0.0745	0.0016	0.003	9e-04	0.0168	0.0037	0.6757	0.0063	0.0126	0.0097	0
BLM	0	0	0	0	0	0	0	2e-04	0	0.0015	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0
FURIN	0	0	0	3e-04	0	0.0051	0	0.0541	0.012	0.2345	0	0.0242	0.0273	9e-04	0.0828	0.0803	0.003	0.0596	0.012	0.0012	0.0124	0.0159	0.0014	0.0028	0.0537
FES	0	0	0	0	0	2e-04	0	0.0117	0	0.1692	0	0	0	0	0.0308	0.0322	0	0	0	0	0	0	0	0	0.0073
MAN2A2	1e-04	0	0	0	0	4e-04	0	7e-04	0	0.0719	0	0	0	0	0.0051	0.0322	0	5e-04	0	4e-04	0	0	0	0	0.0073
HDDC3	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0.0173	0	0	2e-04	0	0	0	0.0095	0.007	0	0
UNC45A	3e-04	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0.0051	0	0	3e-04	0	0.0012	0	0	0	0	0
RCCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0
PRC1	0	0	0	2e-04	6e-04	0	0	0.001	0	0.0031	0	1e-04	0.0015	0	0.0019	0	0	0.0918	0	0.0083	0	0	0.007	0.0141	0
VPS33B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO3A1	0.0569	0.0098	0.0456	0.0053	0.0667	0.0277	0.0382	0.0296	0.0326	0.1098	0.0921	0.0031	0.0074	0.0017	0.0436	0.0702	0.0237	0.1689	0.0312	0.0455	0.013	0.0063	0.0014	0	0.0024
FAM174B	0	0	0	0	0	0	0	0	0	3e-04	0	0	0.001	0	0.0026	0	0	0	0	0	0	0.1619	0	0	0
CHD2	0.3395	0.2389	0.7543	1.3606	0.5634	1.464	0.534	1.0798	1.4206	0.8567	1.183	1.4021	1.2299	1.3221	0.733	0.6883	0.5816	0.4091	0.8058	0.5039	1.4892	0.5556	0.9833	0.8831	1.4244
